progressivo_settimana,anno,settimana,incidenza
1,2022,33,0.150
2,2022,34,0.200
3,2022,35,0.280
4,2022,36,0.260
5,2022,37,0.320
6,2022,38,0.550
7,2022,39,0.850
8,2022,40,0.960
9,2022,41,0.840
10,2022,42,0.770
11,2022,43,0.770
12,2022,44,0.790
13,2022,45,0.920
14,2022,46,1.300
15,2022,47,1.700
16,2022,48,1.900
17,2022,49,1.720
18,2022,50,1.600
19,2022,51,1.380
20,2022,52,1.080
21,2023,1,0.950
22,2023,2,0.970
23,2023,3,0.890
24,2023,4,0.880
25,2023,5,0.880
26,2023,6,0.840
27,2023,7,0.840
28,2023,8,0.770
29,2023,9,0.760
30,2023,10,0.680
31,2023,11,0.680
32,2023,12,0.670
33,2023,13,0.570
34,2023,14,0.600
35,2023,15,0.550
36,2023,16,0.510
37,2023,17,0.460
38,2023,18,0.450
39,2023,19,0.410
40,2023,20,0.390
41,2023,21,0.430
42,2023,22,0.400
43,2023,23,0.350
44,2023,24,0.300
45,2023,25,0.240
46,2023,26,0.230
47,2023,27,0.210
48,2023,28,0.220
49,2023,29,0.210
50,2023,30,0.150
51,2023,31,0.270
52,2023,32,0.210
