progressivo_settimana,anno,settimana,incidenza
1,2025,33,0.160
2,2025,34,0.230
3,2025,35,0.300
4,2025,36,0.380
5,2025,37,0.420
6,2025,38,0.570
7,2025,39,0.680
8,2025,40,0.830
9,2025,41,0.780
10,2025,42,0.880
11,2025,43,0.840
12,2025,44,0.850
13,2025,45,0.860
14,2025,46,0.910
15,2025,47,1.000
16,2025,48,1.210
17,2025,49,1.480
18,2025,50,1.580
19,2025,51,1.680
20,2025,52,1.180
21,2026,1,1.170
22,2026,2,1.110
23,2026,3,1.080
24,2026,4,1.070
25,2026,5,0.980
26,2026,6,0.890
27,2026,7,0.810
28,2026,8,0.720
29,2026,9,0.680
30,2026,10,0.650
31,2026,11,0.610
32,2026,12,0.590
33,2026,13,0.570
34,2026,14,0.500
35,2026,15,0.460
36,2026,16,0.440
37,2026,17,0.430
38,2026,18,0.380
39,2026,19,0.430
40,2026,20,0.420
41,2026,21,0.340
42,2026,22,0.260
43,2026,23,0.270
44,2026,24,0.250
45,2026,25,0.230
46,2026,26,0.210
47,2026,27,0.230
48,2026,28,0.200
49,2026,29,0.220
50,2026,30,0.220
51,2026,31,0.210
52,2026,32,0.190
