progressivo_settimana,anno,settimana,incidenza
1,2024,33,0.300
2,2024,34,0.390
3,2024,35,0.450
4,2024,36,0.460
5,2024,37,0.520
6,2024,38,0.670
7,2024,39,0.750
8,2024,40,0.930
9,2024,41,0.970
10,2024,42,0.870
11,2024,43,0.830
12,2024,44,0.850
13,2024,45,0.920
14,2024,46,0.930
15,2024,47,0.970
16,2024,48,1.030
17,2024,49,1.070
18,2024,50,1.160
19,2024,51,1.190
20,2024,52,1.100
21,2025,1,1.270
22,2025,2,1.520
23,2025,3,1.650
24,2025,4,1.760
25,2025,5,1.730
26,2025,6,1.540
27,2025,7,1.390
28,2025,8,1.290
29,2025,9,1.090
30,2025,10,0.890
31,2025,11,0.830
32,2025,12,0.740
33,2025,13,0.670
34,2025,14,0.610
35,2025,15,0.600
36,2025,16,0.530
37,2025,17,0.420
38,2025,18,0.370
39,2025,19,0.370
40,2025,20,0.380
41,2025,21,0.390
42,2025,22,0.320
43,2025,23,0.310
44,2025,24,0.280
45,2025,25,0.240
46,2025,26,0.220
47,2025,27,0.260
48,2025,28,0.200
49,2025,29,0.210
50,2025,30,0.220
51,2025,31,0.380
52,2025,32,0.320
