simulation,hospitalization_prob,v1_growth_prob,antiv_kill_prob,prudence_parameter,antivesp_young_ratio,antivesp_adult_ratio,incubation_v1,infection_v1,recovered_antivesp,symptoms_progression,score_sum,score_minimax,minimax_year,score_maxmax,maxmax_year,mse_2022,mse_2023,mse_2024,mse_2025
_weekly_simulation_10000_3_10_-1_-1___20260822_173651.csv,0.079076,0.038788,0.002957,0.612331,4,2,18,242,31,706,1.5537999999999996,0.4355999999999999,2022,0.2601,2024,0.4355999999999999,0.4355999999999999,0.2601,0.4224999999999999
_weekly_simulation_10000_3_10_-1_-1___20260822_174007.csv,0.079076,0.038788,0.002957,0.612331,4,2,18,242,31,706,1.5537999999999996,0.4355999999999999,2022,0.2601,2024,0.4355999999999999,0.4355999999999999,0.2601,0.4224999999999999
_weekly_simulation_10000_3_10_-1_-1___20260822_174451.csv,0.079076,0.038788,0.002957,0.612331,4,2,18,242,31,706,1.5537999999999996,0.4355999999999999,2022,0.2601,2024,0.4355999999999999,0.4355999999999999,0.2601,0.4224999999999999
